timestamp_ms,accel_x,accel_y,accel_z,gyro_alpha,gyro_beta,gyro_gamma,activity,session_id
0,0.1391,0.6593,10.2704,1.7124,-0.7854,1.2553,REST,0
50,-0.0211,0.9331,10.1488,-1.1686,0.3793,2.1652,REST,0
100,0.2164,0.0022,9.9172,-1.7123,-1.0542,-0.6587,REST,0
150,0.4787,0.5437,9.7293,0.1233,-0.0019,-1.2424,REST,0
200,0.0035,0.1932,10.1151,-0.2017,-3.509,-2.2492,REST,0
250,0.0198,0.2254,10.038,-0.7838,1.1023,-1.6452,REST,0
300,0.5431,0.1795,10.1858,1.7844,0.607,6.6899,REST,0
350,0.3306,0.0843,10.1193,2.391,-1.2267,2.9698,REST,0
400,-0.0018,0.3182,10.2406,0.5186,1.9834,-2.7131,REST,0
450,0.2945,0.0479,9.801,3.6069,2.5537,-2.6243,REST,0
501,0.0246,0.3301,10.3228,-2.1259,-3.0915,1.3688,REST,0
551,0.0345,0.2121,10.0112,-0.0137,-1.2821,1.5339,REST,0
601,0.242,0.1294,10.5377,-1.1414,-1.3486,1.5561,REST,0
651,-0.3535,-0.0893,9.7633,-3.6508,-1.7793,-0.1965,REST,0
701,-0.2942,-0.0294,10.4407,0.29,2.0561,0.1016,REST,0
751,0.0364,0.3099,10.0073,0.2168,-0.2543,1.1091,REST,0
801,-0.0862,0.2041,9.7657,3.8232,-0.4702,0.5838,REST,0
851,0.2875,-0.2449,9.8076,1.8865,-4.358,-4.4835,REST,0
901,-0.0543,0.0214,9.8474,-1.7533,1.3867,-0.1056,REST,0
951,-0.1965,0.1688,10.0489,4.5763,-2.7991,-1.4753,REST,0
1002,0.6067,-0.5439,10.0685,3.1771,-0.0019,0.7781,REST,0
1052,0.129,0.0414,9.7526,1.7611,0.4165,6.9519,REST,0
1102,0.2055,-0.3297,9.8967,-0.0319,2.7412,1.1816,REST,0
1152,-0.2194,-0.0167,10.4929,-1.662,-3.1881,-0.3308,REST,0
1202,0.0186,-0.4211,10.3657,-0.3913,-7.0058,2.37,REST,0
1252,0.1923,-0.742,9.9924,2.7983,-0.0097,1.3844,REST,0
1302,-0.1721,-0.7198,9.8687,4.5216,3.4989,1.2246,REST,0
1352,0.2432,-0.2761,9.879,3.7401,2.219,1.611,REST,0
1402,-0.0435,-0.24,10.0043,-0.7637,-0.086,4.7738,REST,0
1452,0.0288,-0.5867,9.533,-2.187,-1.6652,-2.267,REST,0
1503,-0.0731,-0.1728,9.7341,0.5483,1.1603,1.2327,REST,0
1553,0.5981,-0.8323,9.3258,-3.6918,-2.7841,-1.879,REST,0
1603,0.0593,-0.3981,9.8917,0.8685,0.3837,1.3482,REST,0
1653,-0.2501,-0.7283,9.9482,-0.2095,0.4309,-1.929,REST,0
1703,0.2591,-0.5784,9.6191,-0.9534,1.6397,-0.8607,REST,0
1753,-0.3306,-0.3861,10.183,-3.4803,5.3724,-0.6267,REST,0
1803,0.0521,-0.6407,9.3873,1.1139,0.1637,2.134,REST,0
1853,-0.5727,-0.5048,9.3095,-1.2319,-1.8147,1.9727,REST,0
